"trial","gen","n","g","z","w","sourcepops","n.pop0","alpha","evolve","block","repct"
34,4,26,-0.523076923076923,-0.466541585320737,0.534485918481412,5,100,0,TRUE,1,2
34,5,15,-0.293333333333333,-0.31572637294004,0.620811391318606,5,100,0,TRUE,1,2
34,6,10,-0.22,-0.0609406326210381,0.689381809925475,5,100,0,TRUE,1,2
34,7,5,-0.12,-0.141037885320272,0.689056742509349,5,100,0,TRUE,1,2
34,8,3,0.0666666666666667,-0.0733548935475643,0.825577553590968,5,100,0,TRUE,1,2
34,9,5,0.12,0.181224816956672,0.809561381538376,5,100,0,TRUE,1,2
34,10,2,0.2,0.659194459769603,1.07952061130864,5,100,0,TRUE,1,2
34,11,2,0.5,0.180402551343691,0.781778872406362,5,100,0,TRUE,1,2
34,12,2,0.6,0.573849802078602,1.01495783449411,5,100,0,TRUE,1,2
34,13,2,0.6,0.888102676841574,1.2149191941845,5,100,0,TRUE,1,2
35,1,20,-0.57,-0.686557215224326,0.440643264141843,5,20,0,FALSE,1,2
35,2,7,0,-0.361682942141682,0.613393148020826,5,20,0,FALSE,1,2
35,3,9,-0.0888888888888889,0.348422199955133,0.952388472465567,5,20,0,FALSE,1,2
35,4,8,-0.475,-0.106992633312406,0.677715387700893,5,20,0,FALSE,1,2
35,5,7,-0.171428571428571,-0.280609788627833,0.588708264512643,5,20,0,FALSE,1,2
35,6,9,-0.244444444444444,-0.218298832474557,0.708050254347891,5,20,0,FALSE,1,2
35,7,12,-0.35,-0.485427530009517,0.573573805592847,5,20,0,FALSE,1,2
35,8,9,-0.333333333333333,-0.601439644076953,0.503284783082099,5,20,0,FALSE,1,2
35,9,4,0.15,-0.546719110292485,0.476697818494746,5,20,0,FALSE,1,2
35,10,1,0.4,-0.069343333178038,0.644362850547407,5,20,0,FALSE,1,2
36,1,100,-0.512,-0.589042398315305,0.496449312019499,5,100,0,FALSE,1,2
36,2,44,0.172727272727273,0.149493558488114,0.817531681115498,5,100,0,FALSE,1,2
36,3,32,0.11875,0.0254082488576222,0.752623534720632,5,100,0,FALSE,1,2
36,4,30,-0.0533333333333333,0.0874261347858177,0.827233570926081,5,100,0,FALSE,1,2
36,5,24,-0.05,-0.0577167440940002,0.721073662035169,5,100,0,FALSE,1,2
36,6,16,-0.05,-0.177050379044169,0.645115319788784,5,100,0,FALSE,1,2
36,7,11,0.0363636363636364,-0.0232975762853898,0.758086148689264,5,100,0,FALSE,1,2
36,8,14,-0.271428571428571,-0.342903584635075,0.626740518336935,5,100,0,FALSE,1,2
36,9,15,0.133333333333333,0.25295466017334,0.866339007437715,5,100,0,FALSE,1,2
36,10,15,-0.08,-0.0619540806310242,0.739624817372618,5,100,0,FALSE,1,2
36,11,14,-0.3,-0.179972520445465,0.688842678224998,5,100,0,FALSE,1,2
36,12,17,0.0470588235294118,-0.279209389858655,0.641019410655476,5,100,0,FALSE,1,2
36,13,15,-0.346666666666667,-0.343323436103407,0.603166468908052,5,100,0,FALSE,1,2
36,14,4,0.05,0.188958064558858,0.818698047860164,5,100,0,FALSE,1,2
36,15,2,0.1,-0.360147094249905,0.50727000898375,5,100,0,FALSE,1,2
37,1,20,-0.59,-0.43269536852102,0.533658298726052,5,20,0.0035,TRUE,1,2
37,2,12,-0.4,-0.295725206761293,0.566745095049196,5,20,0.0035,TRUE,1,2
37,3,2,-0.8,-0.87898475444771,0.310980693825732,5,20,0.0035,TRUE,1,2
37,4,1,-1,-0.311636811176426,0.526934739531253,5,20,0.0035,TRUE,1,2
38,1,100,-0.394,-0.275382066276334,0.625913156694014,5,100,0.0035,TRUE,1,2
38,2,58,-0.382758620689655,-0.472372423564254,0.550013068531225,5,100,0.0035,TRUE,1,2
38,3,14,-0.371428571428571,-0.246775563330537,0.595525558012866,5,100,0.0035,TRUE,1,2
38,4,7,-0.228571428571429,-0.361601082134925,0.569530807797533,5,100,0.0035,TRUE,1,2
38,5,5,-0.04,0.050139155618314,0.879106956771645,5,100,0.0035,TRUE,1,2
38,6,4,-0.05,-0.428109480921609,0.524974947287456,5,100,0.0035,TRUE,1,2
38,7,1,-0.2,-1.43258665841842,0.167732842628484,5,100,0.0035,TRUE,1,2
39,1,20,-0.2,-0.069478522573787,0.680593317159937,5,20,0.0035,FALSE,1,2
39,2,12,0.2,0.116368089561001,0.835600582248136,5,20,0.0035,FALSE,1,2
39,3,14,-0.171428571428571,-0.322954634875489,0.638859659520872,5,20,0.0035,FALSE,1,2
39,4,12,0.1,0.157820418843528,0.793069914688199,5,20,0.0035,FALSE,1,2
39,5,7,0.228571428571429,0.129061221232034,0.758880977181655,5,20,0.0035,FALSE,1,2
39,6,2,-0.1,0.0813410329443033,0.825001200168397,5,20,0.0035,FALSE,1,2
40,1,100,-0.632,-0.708603392356389,0.429846048518862,5,100,0.0035,FALSE,1,2
40,2,39,0.261538461538462,0.461195247562708,1.01420247691138,5,100,0.0035,FALSE,1,2
