"n.pop0","gen","ext.gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
60,5,11,0.00504504504504504,0.00252252252252252,0.42589380945185,0.000808446160377711,111
60,5,12,0.00553191489361702,0.00340425531914894,0.426552983883638,0.000800788757052858,94
60,5,13,0.00971428571428572,0.00114285714285714,0.422675987008747,0.00097894880711164,70
60,5,14,0.00872727272727273,0.00436363636363636,0.42550030994212,0.00114475931885309,55
60,5,15,0.00572784810126582,0.00166139240506329,0.42639041729166,0.000929623015164745,2528
60,6,6,0.186947368421053,0.168421052631579,0.27590194154437,0.00686193456632206,190
60,6,7,0.0686995515695067,0.0495067264573991,0.355241237944125,0.00311398542983918,223
60,6,8,0.0450943396226415,0.0311320754716981,0.372330232829977,0.00264420136666141,212
60,6,9,0.0306145251396648,0.0207821229050279,0.383858085853414,0.00242165827902962,179
60,6,10,0.0318367346938776,0.0171428571428571,0.388010911537656,0.00229628336974152,147
60,6,11,0.0201801801801802,0.0122522522522523,0.395031213435241,0.00162826604781277,111
60,6,12,0.0212765957446809,0.0106382978723404,0.39865048601196,0.00178668949784193,94
60,6,13,0.0211428571428571,0.00571428571428571,0.397717515664985,0.00138045683573525,70
60,6,14,0.0196363636363636,0.0123636363636364,0.400240282784511,0.00228932897696628,55
60,6,15,0.0156329113924051,0.00441455696202532,0.405412858129053,0.00149843195761903,2528
60,7,7,0.223497757847534,0.192825112107623,0.252879294747296,0.00603425879911268,223
60,7,8,0.109811320754717,0.0779245283018868,0.323062237998917,0.00357443007944367,212
60,7,9,0.0708379888268156,0.046927374301676,0.345931707050108,0.00315461946015637,179
60,7,10,0.0680272108843537,0.0348299319727891,0.356658670110858,0.00363336340320088,147
60,7,11,0.052972972972973,0.0302702702702703,0.361230684964789,0.00264318896940678,111
60,7,12,0.0438297872340426,0.0225531914893617,0.369756400532461,0.00285979633990535,94
60,7,13,0.0405714285714286,0.0165714285714286,0.370864709424111,0.00237963561433773,70
