"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
21,2,12,-0.5,-0.848435692179448,0.399070340567413,20,0,FALSE,1
21,3,4,-0.3,-0.911282568369438,0.335714753720698,20,0,FALSE,1
22,1,20,0.32,0.39672207806776,0.921758804017073,100,0,FALSE,1
22,2,22,-0.154545454545455,0.236482532668644,0.868426369502544,100,0,FALSE,1
22,3,27,0.0222222222222222,0.0657059761030251,0.792734245726275,100,0,FALSE,1
22,4,13,0.0769230769230769,0.203043645585893,0.865565208772882,100,0,FALSE,1
22,5,16,0.05,-0.0588393451555325,0.690703648437996,100,0,FALSE,1
22,6,9,0.244444444444444,0.584033759754738,1.03244050814686,100,0,FALSE,1
22,7,13,-0.153846153846154,-0.567001349955163,0.478521669920379,100,0,FALSE,1
22,8,4,-0.25,-0.759235179185175,0.369030312109925,100,0,FALSE,1
22,9,2,0.8,0.454869613007453,0.945330869232562,100,0,FALSE,1
23,1,20,0.32,0.25956102700087,0.890753333392339,20,0.0035,FALSE,1
23,2,22,0.509090909090909,0.524258795899335,1.00731649446882,20,0.0035,FALSE,1
23,3,21,0.704761904761905,0.961421064171389,1.25121802795101,20,0.0035,FALSE,1
23,4,23,0.756521739130435,0.625348494525107,1.06166865282523,20,0.0035,FALSE,1
23,5,33,0.793939393939394,0.623750741791313,1.06456355844963,20,0.0035,FALSE,1
23,6,32,0.63125,0.696562801177871,1.10092586999562,20,0.0035,FALSE,1
23,7,36,0.561111111111111,0.770078477663325,1.1478271457499,20,0.0035,FALSE,1
23,8,44,0.55,0.639616796012795,1.07292928597123,20,0.0035,FALSE,1
23,9,45,0.573333333333333,0.575710222194239,1.04641698804364,20,0.0035,FALSE,1
23,10,48,0.670833333333333,0.634000308024116,1.06337325021128,20,0.0035,FALSE,1
23,11,56,0.732142857142857,0.866876740910646,1.19995776172575,20,0.0035,FALSE,1
23,12,61,0.780327868852459,0.654517588040003,1.08727021792979,20,0.0035,FALSE,1
23,13,67,0.865671641791045,0.864933098214915,1.19615326575068,20,0.0035,FALSE,1
23,14,74,0.951351351351351,0.902254762725802,1.21682168529313,20,0.0035,FALSE,1
23,15,97,0.991752577319588,0.983858588853549,1.26435105488601,20,0.0035,FALSE,1
24,1,20,0.32,0.272958194498601,0.887568227525124,100,0.0035,FALSE,1
24,2,14,-0.0714285714285714,-0.331332412071818,0.57565380662439,100,0.0035,FALSE,1
24,3,7,0.0285714285714286,0.0446519376621499,0.776815054491725,100,0.0035,FALSE,1
24,4,14,0.0142857142857143,0.0594012972479917,0.759516742593229,100,0.0035,FALSE,1
24,5,14,0.2,0.216395362439083,0.885726172180395,100,0.0035,FALSE,1
24,6,15,0.24,0.244049854537989,0.849294926107204,100,0.0035,FALSE,1
24,7,22,-0.0181818181818182,-0.360273444684507,0.606424256344292,100,0.0035,FALSE,1
24,8,17,-0.0235294117647059,-0.0357970967888583,0.737494493195725,100,0.0035,FALSE,1
24,9,25,0.208,0.122938980867175,0.835821253707715,100,0.0035,FALSE,1
24,10,18,-0.0333333333333333,0.149268361950411,0.823879641042003,100,0.0035,FALSE,1
24,11,4,0.2,-0.324972507606104,0.605560002215537,100,0.0035,FALSE,1
25,1,20,0.32,0.319650121274806,0.885794351403989,20,0,TRUE,1
25,2,12,0.5,0.480187295104682,0.975149553632987,20,0,TRUE,1
25,3,18,0.544444444444444,0.549818986077753,1.02321406853807,20,0,TRUE,1
25,4,13,0.569230769230769,0.589918510780684,1.04531238132574,20,0,TRUE,1
25,5,8,0.925,1.16910722892937,1.35516400184291,20,0,TRUE,1
25,6,11,1,1.32150785942496,1.45650360277781,20,0,TRUE,1
25,7,15,1.17333333333333,1.20771405493734,1.35750083387507,20,0,TRUE,1
25,8,22,1.23636363636364,1.22447540123442,1.38552944849829,20,0,TRUE,1
25,9,19,1.10526315789474,1.18634698291393,1.36848544311539,20,0,TRUE,1
25,10,24,1.20833333333333,1.10043789563402,1.33479375546575,20,0,TRUE,1
25,11,22,1.14545454545455,1.05054044912341,1.29827246568739,20,0,TRUE,1
25,12,27,1.27407407407407,1.28345374181918,1.39354741434724,20,0,TRUE,1
25,13,21,1.47619047619048,1.17523717224352,1.32298741279494,20,0,TRUE,1
25,14,29,1.4551724137931,1.4822133554546,1.52176636714904,20,0,TRUE,1
