"trial","gen","n","g","z","w","n.pop0","alpha","evolve","block","rep","design"
171,3,6,0.566666666666667,0.333846369927654,0.921676022106209,20,0.0035,TRUE,4,4,2
171,4,4,0.65,1.11230501726807,1.32267060028839,20,0.0035,TRUE,4,4,2
171,5,1,1,2.11228594652488,1.88073111504674,20,0.0035,TRUE,4,4,2
172,1,100,0.432,0.338894303935112,0.925825692762029,100,0.0035,TRUE,4,4,2
172,2,56,0.546428571428571,0.485024475291345,0.980501624894611,100,0.0035,TRUE,4,4,2
172,3,57,0.56140350877193,0.549125305931849,1.02136308201941,100,0.0035,TRUE,4,4,2
172,4,49,0.575510204081633,0.626169053486785,1.07369338881427,100,0.0035,TRUE,4,4,2
172,5,39,0.661538461538462,0.582972257801119,1.03341275873982,100,0.0035,TRUE,4,4,2
172,6,49,0.616326530612245,0.718602723120699,1.11954885529761,100,0.0035,TRUE,4,4,2
172,7,56,0.682142857142857,0.647690050880941,1.08394921948068,100,0.0035,TRUE,4,4,2
172,8,42,0.895238095238095,0.930572155464929,1.23576298482464,100,0.0035,TRUE,4,4,2
172,9,37,0.967567567567568,1.06845259352339,1.32252791314317,100,0.0035,TRUE,4,4,2
172,10,22,0.963636363636364,0.887432403793826,1.201493173256,100,0.0035,TRUE,4,4,2
172,11,30,0.826666666666667,0.825443143330441,1.16754349757885,100,0.0035,TRUE,4,4,2
172,12,26,0.923076923076923,0.645498915015521,1.08411682144334,100,0.0035,TRUE,4,4,2
172,13,21,0.819047619047619,0.793996238299366,1.1488390655185,100,0.0035,TRUE,4,4,2
172,14,21,0.895238095238095,0.953928528870216,1.22826259628245,100,0.0035,TRUE,4,4,2
172,15,28,0.95,0.941926755304074,1.24539499244268,100,0.0035,TRUE,4,4,2
173,1,20,0.03,-0.00191764585395344,0.736833615495177,20,0,FALSE,4,4,2
173,2,11,0.363636363636364,-0.0614017837957952,0.696198342569912,20,0,FALSE,4,4,2
174,1,100,0.194,0.029367504853127,0.764878467928348,100,0,FALSE,4,4,2
174,2,53,-0.0528301886792453,-0.122314816293669,0.703714019201089,100,0,FALSE,4,4,2
174,3,21,0.238095238095238,0.53798635755536,1.00729242273341,100,0,FALSE,4,4,2
174,4,9,-0.377777777777778,-0.167701206016125,0.659667641304637,100,0,FALSE,4,4,2
174,5,2,0,-1.06393479503984,0.255625594938377,100,0,FALSE,4,4,2
175,1,20,0.28,0.396736768724496,0.953826925253909,20,0.0035,FALSE,4,4,2
175,2,17,-0.211764705882353,-0.0326264624976335,0.717920706085355,20,0.0035,FALSE,4,4,2
175,3,8,0.225,0.399912532748047,0.926855344820461,20,0.0035,FALSE,4,4,2
175,4,8,0.125,-0.0533754555239119,0.763206060168946,20,0.0035,FALSE,4,4,2
175,5,7,-0.0285714285714286,0.17699364898953,0.851391000370869,20,0.0035,FALSE,4,4,2
175,6,8,0.075,-0.00221466364922424,0.737805502689504,20,0.0035,FALSE,4,4,2
175,7,6,-0.0333333333333333,-0.413010682502436,0.514985310988201,20,0.0035,FALSE,4,4,2
176,1,100,0.282,0.357273413291024,0.933645883363772,100,0.0035,FALSE,4,4,2
176,2,76,0.0552631578947368,-0.0434634271214044,0.738359111480927,100,0.0035,FALSE,4,4,2
176,3,40,0.29,0.432634146088132,0.96770460915683,100,0.0035,FALSE,4,4,2
176,4,30,0.293333333333333,0.1340281828724,0.815265949207652,100,0.0035,FALSE,4,4,2
176,5,24,-0.15,-0.147054805795967,0.675893828650154,100,0.0035,FALSE,4,4,2
176,6,13,-0.276923076923077,-0.225846358621281,0.627652830042535,100,0.0035,FALSE,4,4,2
176,7,5,-0.56,0.0942329598072942,0.857692675758685,100,0.0035,FALSE,4,4,2
176,8,2,0.6,0.893370397453531,1.19544979401189,100,0.0035,FALSE,4,4,2
177,1,20,0.05,0.201563086203524,0.842548505922856,20,0,TRUE,4,5,2
177,2,19,0.189473684210526,0.0567276007282697,0.766206745583766,20,0,TRUE,4,5,2
177,3,15,0.213333333333333,0.0942206265559177,0.854457059065229,20,0,TRUE,4,5,2
177,4,15,0.52,0.638038947805193,1.08762587506721,20,0,TRUE,4,5,2
177,5,21,0.828571428571429,0.926135932987606,1.23164431628227,20,0,TRUE,4,5,2
177,6,12,1.05,1.26520296022798,1.43356596345413,20,0,TRUE,4,5,2
177,7,21,0.961904761904762,1.09575286462569,1.32686457294795,20,0,TRUE,4,5,2
177,8,27,1.07407407407407,0.911207385501493,1.21219549423112,20,0,TRUE,4,5,2
177,9,39,1.17435897435897,1.16278593106726,1.36590329367679,20,0,TRUE,4,5,2
177,10,59,1.14915254237288,1.16020604058228,1.36289294479445,20,0,TRUE,4,5,2
177,11,77,1.18961038961039,1.12946468068162,1.32962531859656,20,0,TRUE,4,5,2
177,12,118,1.22033898305085,1.18949282865697,1.37407064754864,20,0,TRUE,4,5,2
177,13,205,1.21560975609756,1.17089047972346,1.3533224539832,20,0,TRUE,4,5,2
177,14,303,1.2006600660066,1.18711559224407,1.3604963613556,20,0,TRUE,4,5,2
177,15,450,1.19155555555556,1.18716268914433,1.37276472689284,20,0,TRUE,4,5,2
178,1,100,0.364,0.341865989780799,0.906369258992744,100,0,TRUE,4,5,2
178,2,104,0.496153846153846,0.540640378431292,1.01923930658027,100,0,TRUE,4,5,2
178,3,111,0.481081081081081,0.403626300388798,0.954856036676077,100,0,TRUE,4,5,2
178,4,108,0.588888888888889,0.701494995177087,1.09872023499821,100,0,TRUE,4,5,2
178,5,113,0.545132743362832,0.583310596039492,1.04226213792599,100,0,TRUE,4,5,2
